Program Time [s],data 0,on/off
2.74979,3654,0
2.75605,3643,0
2.7622,3634,0
2.76847,3628,0
2.77473,3617,0
2.78099,3622,0
2.78726,3606,0
2.79347,3598,0
2.79975,3582,0
2.80598,3573,0
2.81226,3570,0
2.81856,3568,0
2.82476,3554,0
2.831,3543,0
2.83726,3541,0
2.84349,3537,0
2.84976,3527,0
2.85599,3519,0
2.86222,3751,0
2.86849,3742,0
2.87474,3728,0
2.88102,3726,0
2.88727,3717,0
2.89349,3698,0
2.89973,3696,0
2.90602,3685,0
2.91222,3673,0
2.9185,3676,0
2.92476,3659,0
2.93099,3655,0
2.93724,3648,0
2.94349,3638,0
2.94978,3637,0
2.95599,3631,0
2.96223,3621,0
2.96848,3613,0
2.97473,3604,0
2.98099,3596,0
2.98727,3597,0
2.9935,3580,0
2.99974,3568,0
3.00598,3553,0
3.01222,3540,0
3.01848,3536,0
3.02474,3523,0
3.03098,3522,0
3.03724,3508,0
3.04349,3500,0
3.04977,3492,0
3.056,3485,0
3.06223,3478,0
3.06855,3471,0
3.07473,3459,0
3.08101,3450,0
3.08726,3449,0
3.09348,3440,0
3.09973,3440,0
3.10596,3415,0
3.11222,3694,0
3.11849,3691,0
3.12473,3683,0
3.13101,3671,0
3.13723,3663,0
3.14348,3655,0
3.14973,3637,0
3.15599,3633,0
3.16222,3632,0
3.16849,3622,0
3.17473,3610,0
3.18097,3605,0
3.1872,3600,0
3.1935,3593,0
3.1997,3575,0
3.20595,3562,0
3.21221,3568,0
3.21847,3550,0
3.22473,3555,0
3.23095,3539,0
3.23721,3657,0
3.24349,3647,0
3.24973,3641,0
3.256,3633,0
3.26222,3622,0
3.26855,3612,0
3.2747,3609,0
3.28103,3597,0
3.28729,3591,0
3.29349,3583,0
3.29973,3568,0
3.30598,3568,0
3.31224,3556,0
3.31857,3541,0
3.32472,3536,0
3.33093,3519,0
3.33722,3520,0
3.3435,3517,0
3.34973,3504,0
3.35595,3495,0
3.36222,3545,0
3.36847,3543,0
3.37471,3534,0
3.38099,3529,0
3.3872,3522,0
3.39344,3515,0
3.39971,3505,0
3.40598,3503,0
3.4122,3488,0
3.41845,3487,0
3.4247,3478,0
3.43098,3472,0
3.43722,3467,0
3.44349,3457,0
3.44971,3453,0
3.45598,3440,0
3.46217,3437,0
3.46845,3433,0
3.47474,3427,0
3.48095,3418,0
3.48721,3541,0
3.49353,3542,0
3.4997,3532,0
3.50594,3521,0
3.51222,3515,0
3.5185,3510,0
3.5247,3503,0
3.53095,3491,0
3.53722,3485,0
3.54345,3477,0
3.54971,3474,0
3.55599,3467,0
3.56222,3462,0
3.56849,3456,0
3.57472,3447,0
3.58093,3439,0
3.5872,3439,0
3.59346,3426,0
3.59972,3422,0
3.60594,3414,0
3.6122,3462,0
3.6185,3457,0
3.62475,3451,0
3.63096,3441,0
3.63719,3434,0
3.64349,3428,0
3.64968,3421,0
3.65595,3412,0
3.66221,3401,0
3.66843,3401,0
3.67473,3394,0
3.68098,3386,0
3.68721,3378,0
3.69349,3376,0
3.69968,3370,0
3.70594,3357,0
3.71224,3357,0
3.71849,3350,0
3.72471,3345,0
3.73094,3344,0
3.73722,3466,0
3.7435,3459,0
3.7497,3453,0
3.75593,3442,0
3.76221,3440,0
3.76847,3431,0
3.77472,3423,0
3.78094,3411,0
3.78721,3408,0
3.79349,3398,0
3.79967,3391,0
3.80594,3407,0
3.81221,3379,0
3.81845,3376,0
3.82471,3371,0
3.83095,3361,0
3.8372,3361,0
3.84348,3356,0
3.84971,3346,0
3.85594,3344,0
3.8622,3366,0
3.86849,3358,0
3.87471,3354,0
3.88094,3344,0
3.88722,3335,0
3.89347,3330,0
3.8997,3322,0
3.90594,3317,0
3.91222,3307,0
3.91849,3302,0
3.92471,3294,0
3.93105,3286,0
3.93723,3280,0
3.94353,3277,0
3.94972,3268,0
3.9559,3259,0
3.96216,3258,0
3.96848,3249,0
3.97471,3242,0
3.98095,3238,0
3.98719,3367,0
3.99348,3359,0
3.9997,3357,0
4.00593,3349,0
4.01223,3339,0
4.01848,3331,0
4.02469,3328,0
4.03096,3318,0
4.03716,3312,0
4.04345,3302,0
4.0497,3299,0
4.05595,3289,0
4.06216,3286,0
4.06853,3280,0
4.07469,3269,0
4.08094,3259,0
4.08718,3263,0
4.09345,3251,0
4.09974,3248,0
4.10594,3242,0
4.11218,3332,0
4.11845,3327,0
4.12468,3323,0
4.13095,3317,0
4.13717,3311,0
4.14348,3301,0
4.14966,3299,0
4.15603,3295,0
4.16222,3283,0
4.16846,3280,0
4.17468,3276,0
4.18089,3271,0
4.18717,3265,0
4.19345,3261,0
4.19969,3259,0
4.20595,3241,0
4.21217,3245,0
4.21845,3233,0
4.22466,3231,0
4.23095,3227,0
4.23721,3202,0
4.24365,3200,0
4.24967,3197,0
4.25591,3188,0
4.26218,3184,0
4.26854,3179,0
4.27467,3173,0
4.28095,3167,0
4.28719,3159,0
4.29348,3157,0
4.29969,3152,0
4.306,3149,0
4.31221,3143,0
4.31848,3139,0
4.32466,3126,0
4.33093,3125,0
4.33716,3121,0
4.34351,3117,0
4.34968,3111,0
4.35596,3106,0
4.36218,3123,0
4.36846,3152,0
4.37464,3144,0
4.3809,3144,0
4.38717,3136,0
4.39353,3133,0
4.39967,3124,0
4.4059,3120,0
4.41218,3114,0
4.41851,3111,0
4.42467,3114,0
4.43095,3099,0
4.43716,3097,0
4.4435,3088,0
4.44969,3088,0
4.45594,3071,0
4.46216,3077,0
4.46848,3065,0
4.47468,3061,0
4.48094,3056,0
4.48716,3164,0
4.49349,3159,0
4.49973,3152,0
4.50591,3148,0
4.51213,3139,0
4.51844,3134,0
4.52467,3130,0
4.53093,3121,0
4.53713,3117,0
4.54354,3116,0
4.54967,3111,0
4.55591,3105,0
4.56218,3101,0
4.56844,3094,0
4.57467,3088,0
4.58089,3083,0
4.58714,3083,0
4.59351,3069,0
4.59964,3065,0
4.6059,3063,0
4.61216,3063,0
4.61862,3057,0
4.62467,3055,0
4.63092,3050,0
4.63715,3036,0
4.64344,3034,0
4.64967,3029,0
4.65591,3023,0
4.66218,3020,0
4.6685,3011,0
4.67466,3005,0
4.68092,3001,0
4.68717,2994,0
4.69344,2992,0
4.69964,2987,0
4.7059,2983,0
4.71214,2974,0
4.71843,2974,0
4.72466,2966,0
4.7309,2961,0
4.73716,3136,0
4.74348,3130,0
4.74968,3123,0
4.75594,3118,0
4.76212,3114,0
4.76849,3109,0
4.77462,3102,0
4.7809,3097,0
4.78716,3091,0
4.79347,3085,0
4.79966,3081,0
4.80589,3069,0
4.81216,3065,0
4.81844,3061,0
4.82464,3056,0
4.83089,3039,0
4.83716,3042,0
4.84346,3037,0
4.84965,3034,0
4.85591,3026,0
4.86221,2930,0
4.86845,2930,0
4.87464,2907,0
4.88089,2915,0
4.88712,2906,0
4.89345,2901,0
4.89963,2899,0
4.90587,2895,0
4.91212,2883,0
4.91849,2881,0
4.92461,2878,0
4.93087,2874,0
4.93712,2862,0
4.94348,2863,0
4.94961,2859,0
4.95589,2846,0
4.96217,2847,0
4.96853,2841,0
4.97466,2834,0
4.98089,2833,0
4.98712,2992,0
